x_pre x_post y_pre y_post x_pre_image y_pre_image x_post_image y_post_image
54.4341792210 53.6060170000 22.9500981283 22.7415060000 22.9500981283 54.4341792210 22.7415060000 53.6060170000
55.3057869997 54.3325830000 22.9718437197 22.7415060000 22.9718437197 55.3057869997 22.7415060000 54.3325830000
56.1029482373 54.9864920000 23.0644115662 22.7415060000 23.0644115662 56.1029482373 22.7415060000 54.9864920000
56.9745560160 55.7130580000 23.0861571577 22.7415060000 23.0861571577 56.9745560160 22.7415060000 55.7130580000
57.8461637947 56.4396230000 23.1079027491 22.7415060000 23.1079027491 57.8461637947 22.7415060000 56.4396230000
58.7177715734 57.1661890000 23.1296483405 22.8141630000 23.1296483405 58.7177715734 22.8141630000 57.1661890000
59.5893793521 57.9654110000 23.1513939320 22.8141630000 23.1513939320 59.5893793521 22.8141630000 57.9654110000
60.4627982741 58.6193210000 23.1005051004 22.8141630000 23.1005051004 60.4627982741 22.8141630000 58.6193210000
61.4052283079 59.3458860000 23.1966972329 22.8868190000 23.1966972329 61.4052283079 22.8868190000 59.3458860000
62.2042016885 60.2177650000 23.2166306813 22.8868190000 23.2166306813 62.2042016885 22.8868190000 60.2177650000
63.0031750691 61.0896440000 23.2365641298 22.8868190000 23.2365641298 63.0031750691 22.8868190000 61.0896440000
63.8021494494 62.0341790000 23.2564976031 22.8868190000 23.2564976031 63.8021494494 22.8868190000 62.0341790000
64.5284884319 62.9060580000 23.2746189085 22.8868190000 23.2746189085 64.5284884319 22.8868190000 62.9060580000
65.2548284141 63.9232500000 23.2927402389 22.8868190000 23.2927402389 65.2548284141 22.8868190000 63.9232500000
66.0519896767 64.7951290000 23.3853070857 22.8868190000 23.3853070857 66.0519896767 22.8868190000 64.7951290000
66.8509640569 65.6670080000 23.4052405591 22.9594760000 23.4052405591 66.8509640569 22.9594760000 65.6670080000
67.6499374376 66.5388870000 23.4251740075 22.9594760000 23.4251740075 67.6499374376 22.9594760000 66.5388870000
68.9573486058 67.6287350000 23.4577923822 22.9594760000 23.4577923822 68.9573486058 22.9594760000 67.6287350000
69.7563219864 68.9365530000 23.4777258306 22.9594760000 23.4777258306 69.7563219864 22.9594760000 68.9365530000
70.4826619686 69.8810890000 23.4958471610 22.9594760000 23.4958471610 70.4826619686 22.9594760000 69.8810890000
