x_pre x_post y_pre y_post x_pre_image y_pre_image x_post_image y_post_image
13.3809810511 12.4703230000 9.7989256426 9.8086370000 9.7989256426 13.3809810511 9.8086370000 12.4703230000
13.8427633365 13.4373720000 9.7682992915 9.8086370000 9.7682992915 13.8427633365 9.8086370000 13.4373720000
14.3490290822 13.8518220000 9.7852369464 9.8546870000 9.7852369464 14.3490290822 9.8546870000 13.8518220000
14.8997792876 14.3583710000 9.8497386407 9.8086370000 9.8497386407 14.8997792876 9.8086370000 14.3583710000
15.4536090727 14.7267700000 9.8221918359 9.8546870000 9.8221918359 15.4536090727 9.8546870000 14.7267700000
16.0059000674 15.2333200000 9.8406693140 9.8546870000 9.8406693140 16.0059000674 9.8546870000 15.2333200000
16.4661415635 15.7859190000 9.8560671791 9.8546870000 9.8560671791 16.4661415635 9.8546870000 15.7859190000
16.9263840590 16.3385180000 9.8714650776 9.9007370000 9.8714650776 16.9263840590 9.9007370000 16.3385180000
17.3866255552 16.8911170000 9.8868629426 9.9007370000 9.8868629426 17.3866255552 9.9007370000 16.8911170000
17.9389155504 17.4437170000 9.9053403873 9.9007370000 9.9053403873 17.9389155504 9.9007370000 17.4437170000
18.3991580460 17.9963160000 9.9207382858 9.9467870000 9.9207382858 18.3991580460 9.9467870000 17.9963160000
18.8593995421 18.5489150000 9.9361361509 9.9467870000 9.9361361509 18.8593995421 9.9467870000 18.5489150000
19.2736167887 19.1015150000 9.9499942261 9.9467870000 9.9499942261 19.2736167887 9.9467870000 19.1015150000
19.6878350347 19.5620140000 9.9638523347 9.9928370000 9.9638523347 19.6878350347 9.9928370000 19.5620140000
20.1020522812 20.0225130000 9.9777104099 9.9928370000 9.9777104099 20.1020522812 9.9928370000 20.0225130000
20.5622947768 20.5290630000 9.9931083084 9.9928370000 9.9931083084 20.5622947768 9.9928370000 20.5290630000
20.9765120234 20.9895620000 10.0069663836 9.9928370000 10.0069663836 20.9765120234 9.9928370000 20.9895620000
21.3891904795 21.5421610000 10.0668487417 10.0388870000 10.0668487417 21.3891904795 10.0388870000 21.5421610000
