x_pre x_post y_pre y_post x_pre_image y_pre_image x_post_image y_post_image
25.5533953165 25.3538680000 16.7023078255 16.7007780000 16.7023078255 25.5533953165 16.7007780000 25.3538680000
26.3509419858 25.9801470000 16.6700440090 16.7007780000 16.6700440090 26.3509419858 16.7007780000 25.9801470000
26.9911300317 26.6064270000 16.6974024754 16.6485880000 16.6974024754 26.9911300317 16.6485880000 26.6064270000
27.6844885884 27.2327060000 16.7226099910 16.7007780000 16.7226099910 27.6844885884 16.7007780000 27.2327060000
28.3735443252 27.8589850000 16.6414785240 16.7007780000 16.6414785240 28.3735443252 16.7007780000 27.8589850000
29.1179214830 28.4330740000 16.6113656178 16.6485880000 16.6113656178 29.1179214830 16.6485880000 28.4330740000
29.7559586186 29.1115430000 16.5855545726 16.6485880000 16.5855545726 29.7559586186 16.6485880000 29.1115430000
30.4471662649 29.7900120000 16.5575925767 16.6485880000 16.5575925767 30.4471662649 16.6485880000 29.7900120000
31.1426747731 30.4684810000 16.6359706435 16.6485880000 16.6359706435 31.1426747731 16.6485880000 30.4684810000
31.8870519309 31.1991400000 16.6058577372 16.7007780000 16.6058577372 31.8870519309 16.7007780000 31.1991400000
32.5825603987 31.8254200000 16.6842348048 16.6485880000 16.6842348048 32.5825603987 16.6485880000 31.8254200000
33.2759179561 32.5038890000 16.7094423608 16.6485880000 16.7094423608 33.2759179561 16.6485880000 32.5038890000
34.0181442036 33.1823580000 16.6261599431 16.6485880000 16.6261599431 34.0181442036 16.6485880000 33.1823580000
34.7646722718 33.7042570000 16.6492165484 16.5963980000 16.6492165484 34.7646722718 16.5963980000 33.7042570000
35.2410489634 34.3305360000 16.5766887631 16.5442080000 16.5766887631 35.2410489634 16.5442080000 34.3305360000
35.8237656771 34.9568150000 16.4998591168 16.5442080000 16.4998591168 35.8237656771 16.5442080000 34.9568150000
36.4107842116 35.6352840000 16.5293684935 16.4920180000 16.5293684935 36.4107842116 16.4920180000 35.6352840000
36.9935009254 36.2615640000 16.4525388471 16.4920180000 16.4525388471 36.9935009254 16.4920180000 36.2615640000
37.4698776170 36.7834630000 16.3800110619 16.4920180000 16.3800110619 37.4698776170 16.4920180000 36.7834630000
38.1100656629 37.3575520000 16.4073695282 16.4920180000 16.4073695282 38.1100656629 16.4920180000 37.3575520000
38.8034242195 37.9316410000 16.4325770438 16.4398280000 16.4325770438 38.8034242195 16.4398280000 37.9316410000
39.5499512885 38.5579210000 16.4556336896 16.4920180000 16.4556336896 39.5499512885 16.4920180000 38.5579210000
40.1879894233 39.2885800000 16.4298226040 16.4398280000 16.4298226040 40.1879894233 16.4398280000 39.2885800000
40.9323655819 40.0192390000 16.3997097382 16.4398280000 16.3997097382 40.9323655819 16.4398280000 40.0192390000
41.6257241790 40.7498980000 16.4249182530 16.4398280000 16.4249182530 41.6257241790 16.4398280000 40.7498980000
42.2127427134 41.2196070000 16.4544276297 16.4398280000 16.4544276297 42.2127427134 16.4398280000 41.2196070000
42.8019111590 41.8458860000 16.5371065583 16.4398280000 16.5371065583 42.8019111590 16.4398280000 41.8458860000
43.4399492938 42.5243550000 16.5112954727 16.3876380000 16.5112954727 43.4399492938 16.3876380000 42.5243550000
43.9759482683 43.2028240000 16.5961263108 16.4398280000 16.5961263108 43.9759482683 16.4398280000 43.2028240000
44.6650050043 43.8812930000 16.5149948034 16.4398280000 16.5149948034 44.6650050043 16.4398280000 43.8812930000
45.3051930502 44.5075730000 16.5423532698 16.4398280000 16.5423532698 45.3051930502 16.4398280000 44.5075730000
45.9963996973 45.2382320000 16.5143913143 16.4920180000 16.5143913143 45.9963996973 16.4920180000 45.2382320000
46.5812673215 45.9167010000 16.4907311795 16.4920180000 16.4907311795 46.5812673215 16.4920180000 45.9167010000
47.2193044571 46.4907900000 16.4649201343 16.4398280000 16.4649201343 47.2193044571 16.4398280000 46.4907900000
47.9658325252 47.3258290000 16.4879767396 16.3876380000 16.4879767396 47.9658325252 16.3876380000 47.3258290000
48.5507001493 48.2130580000 16.4643166048 16.3876380000 16.4643166048 48.5507001493 16.3876380000 48.2130580000
49.1355677734 49.1002870000 16.4406564700 16.4398280000 16.4406564700 49.1355677734 16.4398280000 49.1002870000
