x_pre x_post y_pre y_post x_pre_image y_pre_image x_post_image y_post_image
59.4285363382 58.4871060000 35.4068935625 35.2189930000 35.4068935625 59.4285363382 35.2189930000 59.3712650000
60.3081615874 59.3712650000 35.5792638847 35.2189930000 35.5792638847 60.3081615874 35.2189930000 60.1817440000
61.0446643503 60.1817440000 35.6001551881 35.2189930000 35.6001551881 61.0446643503 35.2189930000 61.0659030000
61.8548174895 61.0659030000 35.6231356247 35.2189930000 35.6231356247 61.8548174895 35.2189930000 61.7290220000
62.5913202525 61.7290220000 35.6440269281 35.2189930000 35.6440269281 62.5913202525 35.3663530000 62.0974210000
63.4014733917 62.0974210000 35.6670073646 35.3663530000 35.6670073646 63.4014733917 35.3663530000 62.8342200000
64.2852769072 62.8342200000 35.6920769344 35.3663530000 35.6920769344 64.2852769072 35.3663530000 63.5710190000
65.0217796701 63.5710190000 35.7129682378 35.3663530000 35.7129682378 65.0217796701 35.3663530000 64.6025380000
65.7582824331 64.6025380000 35.7338595412 35.3663530000 35.7338595412 65.7582824331 35.3663530000 65.4130170000
66.4947851960 65.4130170000 35.7547508445 35.3663530000 35.7547508445 66.4947851960 35.5137130000 66.1498160000
67.2291988258 66.1498160000 35.8492925242 35.5137130000 35.8492925242 67.2291988258 35.5137130000 67.0339750000
68.1130023413 67.0339750000 35.8743620939 35.5137130000 35.8743620939 68.1130023413 35.5137130000 68.1391730000
68.9231554805 68.1391730000 35.8973425305 35.5137130000 35.8973425305 68.9231554805 35.5137130000 69.4654110000
69.8048688632 69.4654110000 35.9960624481 35.5137130000 35.9960624481 69.8048688632 35.5873930000 70.4232500000
70.6150220024 70.4232500000 36.0190428847 35.5873930000 36.0190428847 70.6150220024 33.3033160000 10.0057310000
71.2042240129 71.5284490000 36.0357559217 35.5873930000 36.0357559217 71.2042240129 35.5873930000 71.5284490000
