s_(um) X_pre Y_pre X_post Y_post D_normal
25.4163933118 25.3873651383 0.3354956972 25.3893507191 0.3828002663 0.0473022587
25.6281965894 25.5991682764 0.3357388216 25.6011539967 0.3828002663 0.0470591343
25.8399998670 25.8109714144 0.3359819460 25.8129572743 0.3828002663 0.0468160099
26.0518031446 26.0227745525 0.3362250704 26.0247605519 0.3828002663 0.0465728855
26.2636064222 26.2345776906 0.3364681948 26.2353175572 0.3602980484 0.0238289886
26.4754096998 26.4463808286 0.3367113192 26.4458254232 0.3369085903 0.0001979084
26.6872129774 26.6581839667 0.3369544436 26.6524387354 0.3714201135 0.0344722420
26.8990162550 26.8699871047 0.3371975680 26.8579181262 0.4227898357 0.0856060650
27.1108195326 27.0817902428 0.3374406924 27.0679242741 0.4457740141 0.1083491668
27.3226228102 27.2935933809 0.3376838168 27.2791893079 0.4608642052 0.1231968413
27.5344260878 27.5053965189 0.3379269412 27.4904543418 0.4759543962 0.1380445158
27.7462293654 27.7171996570 0.3381700656 27.7016436305 0.4782430387 0.1402077221
27.9580326430 27.9288707815 0.3417507450 27.9127153049 0.4606539331 0.1195353753
28.1698359206 28.1400314187 0.3582375182 28.1237869794 0.4430648274 0.0858343990
28.3816391982 28.3511920559 0.3747242914 28.3352118521 0.4339672663 0.0602828032
28.5934424758 28.5623884812 0.3903062739 28.5470151297 0.4339672663 0.0442052099
28.8052457534 28.7741916193 0.3905493983 28.7588184073 0.4339672663 0.0434354859
